,Favorable ,Unfavorable,Never heard of / no opinion
,%,%,%
Pope Francis,,,
"Feb 6-9, 2014",76,9,16
"Apr 11-14, 2013",58,10,31
,,,
Pope Benedict XVI,,,
"Mar 26-28, 2010",40,35,25
"Apr 18-20, 2008",63,15,22
"Jun 1-3, 2007",52,16,32
"Dec 16-18,2005",50,11,39
"Apr 29-May 1, 2005",55,12,33
,,,
Pope John Paul II,,,
"Feb 25-27, 2005",78,11,11
"Oct 6-8, 2003",73,17,10
"Apr 29-May 1, 2002",61,26,13
"Dec 28-29, 1998",86,8,6
"Aug 8-10, 1993",64,15,21
